id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
1030603656490635265,https://twitter.com/ChiranjeevLenka/status/1030603656490635265,ChiranjeevLenka,,"Net2Source Inc. Hiring: Account Managers ( US Staffing ) Requirements: Must have minimum 5+ years of exp in US Staffing working with large system integrators like Cognizant, Infosys, DXC Technology, HCL, Mphasis or Tech Mahindra. Must have strong hand…https://lnkd.in/fdqjcUC",2018-08-17 23:53:54+00:00,1,0,,,
1030601912112934912,https://twitter.com/politicalHEDGE/status/1030601912112934912,politicalHEDGE,,"Global Engineering Services Outsourcing 2018-2022 with Accenture, HCL Technologies, Infosys, TCS & Wipro Dominating https://hedgeaccordingly.com/2018/08/global-engineering-services-outsourcing-2018-2022-with-accenture-hcl-technologies-infosys-tcs-wipro-dominating/ … Published on August 9, 2018@4:00pm #PRNewswire",2018-08-17 23:46:58+00:00,0,1,@4,#PRNewswire,
1030599245353689091,https://twitter.com/performatel/status/1030599245353689091,performatel,,"Competitive Scenario: Procure-to-Pay Outsourcing Market by Key Players: Capgemini, IBM, GEP, Infosys 2018-2025 http://www.digitaljournal.com/pr/3902185",2018-08-17 23:36:22+00:00,0,0,,,
1030597733994979329,https://twitter.com/TechVisorNL/status/1030597733994979329,TechVisorNL,,Infosys Consulting: Infosys wins Outstanding Catalyst-CurateFX Ecosystem Design Award at TM Forum 2018 - http://tinyurl.com/y8ke4lgo #InfosysConsulting #blockchainpic.twitter.com/d8Zt0Swl4y,2018-08-17 23:30:22+00:00,0,0,,#InfosysConsulting #blockchainpic,
1030582560420552704,https://twitter.com/wallywatcher/status/1030582560420552704,wallywatcher,Adaliabrand8,"Transforming Refugees into Entrepreneurs using Alt Finance. Winners of Infosys Challenge-UNICEF FinTech Jam for Good, 2016. @BizGees Found via @LoriBlackbear https://twitter.com/Adaliabrand8/status/1012849817880494080 … @Adaliabrand8",2018-08-17 22:30:04+00:00,1,2,@BizGees @LoriBlackbear @Adaliabrand8,,
1030573169222930435,https://twitter.com/CodingBusiness/status/1030573169222930435,CodingBusiness,,The race-based hiring by companies like Cognizant and InfoSys is the true #discrimination towards all other countries including US for years. @USDOL @USCIS should look into these kind of cheap labor visa scams. #nohr392 #noS281 #noh4ead https://twitter.com/Alex__boi_/status/1030138268195737601 …,2018-08-17 21:52:45+00:00,1,1,@USDOL @USCIS,#discrimination #nohr392 #noS281 #noh4ead,
1030571795638824962,https://twitter.com/PMenonIFPRI/status/1030571795638824962,PMenonIFPRI,,So cool! The @infosys #sciencefoundation challenge with the @NYASciences is on #nutrition! https://www.nyas.org/challenges/infosys-science-foundation-nutrition-challenge/ … Kids in INDIA - Apply!,2018-08-17 21:47:17+00:00,0,2,@infosys @NYASciences,#sciencefoundation #nutrition,
1030571430600011776,https://twitter.com/CodingBusiness/status/1030571430600011776,CodingBusiness,,The low wages are caused by companies like InfoSys recklessly apply for tons of working visas h1/l1 for low quality candidates and then outsource them to replace American workers. All other countries've already suffered enough of the h1b/l1 visa abuse for years. #nohr392 #noS281,2018-08-17 21:45:50+00:00,1,1,,#nohr392 #noS281,
1030571138751971333,https://twitter.com/CodingBusiness/status/1030571138751971333,CodingBusiness,,The low wages are caused by companies like InfoSys recklessly apply for tons of working visas h1/l1 for low quality candidates and then outsource them to replace American workers. All other countries've already suffered enough of the h1b/l1 visa abuse for years. #nohr392 #noS281,2018-08-17 21:44:41+00:00,0,0,,#nohr392 #noS281,
1030567534754521090,https://twitter.com/TechVisorNL/status/1030567534754521090,TechVisorNL,,Infosys Consulting: Accelerate your SAP S/4HANA projects while reducing the risk - http://tinyurl.com/yb8g4uy5 #InfosysConsultingpic.twitter.com/lF9sfhRswL,2018-08-17 21:30:21+00:00,0,0,,#InfosysConsultingpic,
1030565441796620288,https://twitter.com/CodingBusiness/status/1030565441796620288,CodingBusiness,,The low wages are caused by companies like InfoSys recklessly apply for tons of working visas h1/l1 for low quality candidates and then outsource them to replace American workers. All other countries've already suffered enough of the h1b/l1 visa abuse for years. #nohr392 #noS281,2018-08-17 21:22:02+00:00,0,1,,#nohr392 #noS281,
1030553847142334464,https://twitter.com/DevRadius/status/1030553847142334464,DevRadius,,"Development Trends: Mobile Enterprise Application Market by Key Vendors: IBM, AT&T, Infosys, BlackBerry, SAP 2018-2025 https://bit.ly/2nLdP7J #crowdfunding #Trends",2018-08-17 20:35:58+00:00,0,0,,#crowdfunding #Trends,
1030544488144556033,https://twitter.com/expert_infosys/status/1030544488144556033,expert_infosys,,Do you need some help? #Emsisoft wins international award for #ransomware removal - #Security Boulevard https://securityboulevard.com/2018/08/emsisoft-wins-international-award-for-ransomware-removal/ … via @securityblvd,2018-08-17 19:58:47+00:00,0,0,@securityblvd,#Emsisoft #ransomware #Security,
1030543229022871552,https://twitter.com/expert_infosys/status/1030543229022871552,expert_infosys,,#CyberSecurity threat to #Britain's #oil and #gas sites as attack could cause 'unprecedented damage'https://www.thesun.co.uk/news/7037069/cyber-security-threat-to-britains-oil-and-gas-sites-as-attack-could-cause-unprecedented-damage/ …,2018-08-17 19:53:47+00:00,0,0,,#CyberSecurity #Britain #oil #gas,
1030541975232147456,https://twitter.com/viralnt/status/1030541975232147456,viralnt,,"Super exciting evening today welcoming, sharing thoughts & interacting with finalists assembled from diverse institutes for #powerprogrammer #GrandFinale #hackathon #HackWithInfy to code collaborate & conquer at #Infosys #pune #BeTheNavigatorpic.twitter.com/dEPXOyl867",2018-08-17 19:48:48+00:00,2,11,,#powerprogrammer #GrandFinale #hackathon #HackWithInfy #Infosys #pune #BeTheNavigatorpic,
